#{"t_start": 1707321222.3920522, "env_id": "MiniGrid-Empty-5x5-v0"}
r,l,t
0.739,29,41.543993
0.955,5,41.554407
0.712,32,41.603693
0.928,8,41.614994
0.811,21,41.644835
0.946,6,41.653508
0.676,36,41.71413
0.829,19,41.742141
0.847,17,41.769569
0.91,10,41.786481
0.892,12,41.803793
0.766,26,41.840742
0.829,19,41.870747
0.937,7,41.883236
0.874,14,41.903119
0.775,25,41.93771
0.946,6,41.946246
0.901,11,41.961529
0.811,21,41.99654
0.883,13,42.01457
0.73,30,42.05549
0.793,23,42.093705
0.874,14,42.113169
0.694,34,42.159788
0.901,11,42.178408
0.73,30,42.224287
0.946,6,42.232782
0.946,6,42.24131
0.919,9,42.253937
0.838,18,42.281632
0.946,6,42.292099
0.838,18,42.318406
0.847,17,42.342248
0.937,7,42.351944
0.82,20,42.382457
0.91,10,42.398561
0.739,29,42.439222
0.937,7,42.44858
0.928,8,42.459162
0.658,38,42.519813
0.937,7,42.529633
0.766,26,42.565617
0.811,21,42.600087
0.829,19,42.628063
0.856,16,42.650478
0.883,13,42.66888
0.757,27,42.714004
0.838,18,42.739292
0.901,11,42.754419
0.856,16,42.776466
0.892,12,42.796752
0.91,10,42.814462
0.838,18,42.839649
0.955,5,42.8467
0.892,12,42.862928
0.865,15,42.882932
0.757,27,42.926808
0.856,16,42.947907
0.937,7,42.957374
0.892,12,42.973087
0.829,19,43.001635
0.946,6,43.010681
0.919,9,43.024423
0.622,42,43.079436
0.946,6,43.087704
0.928,8,43.09839
0.793,23,43.135991
0.748,28,43.174704
0.838,18,43.199614
0.802,22,43.236814
0.892,12,43.25334
0.892,12,43.270119
0.901,11,43.284948
0.901,11,43.300091
0.91,10,43.317121
0.928,8,43.330269
0.91,10,43.344485
0.91,10,43.358513
0.712,32,43.402305
0.838,18,43.434559
0.892,12,43.451176
0.721,31,43.493241
0.748,28,43.537398
0.901,11,43.553417
0.712,32,43.609786
0.901,11,43.629018
0.928,8,43.643307
0.586,46,43.707534
0.91,10,43.72471
0.91,10,43.743339
0.928,8,43.754712
0.901,11,43.770152
0.865,15,43.791428
0.847,17,43.814364
0.91,10,43.831534
0.757,27,43.871399
0.919,9,43.88348
0.847,17,43.906777
0.874,14,43.925238
0.793,23,43.965012
0.946,6,43.97353
0.874,14,43.992727
0.82,20,44.019582
0.712,32,44.070252
0.874,14,44.089408
0.91,10,44.103209
0.901,11,44.117945
0.865,15,44.141228
0.919,9,44.156096
0.874,14,44.175327
0.667,37,44.225675
0.928,8,44.236056
0.847,17,44.271582
0.766,26,44.34613
0.883,13,44.375756
0.937,7,44.385908
0.64,40,44.443171
0.793,23,44.483853
0.892,12,44.502006
0.865,15,44.523746
0.91,10,44.537832
0.946,6,44.546935
0.883,13,44.574623
0.802,22,47.430846
0.91,10,47.449088
0.901,11,47.46782
0.883,13,47.489324
0.937,7,47.499365
0.937,7,47.509767
0.937,7,47.519756
0.766,26,47.560941
0.874,14,47.584757
0.955,5,47.592091
0.937,7,47.602059
0.775,25,47.637629
0.946,6,47.646133
0.802,22,47.684934
0.415,65,47.783845
0.901,11,47.799595
0.928,8,47.810848
0.919,9,47.823932
0.946,6,47.832282
0.811,21,47.864073
0.937,7,47.876561
0.955,5,47.883762
0.901,11,47.899182
0.919,9,47.911913
0.838,18,47.936812
0.901,11,47.95242
0.919,9,47.967999
0.856,16,47.995752
0.874,14,48.016085
0.928,8,48.027287
0.937,7,48.036903
0.901,11,48.052298
0.82,20,48.086416
0.91,10,48.101095
0.919,9,48.113346
0.892,12,48.129492
0.901,11,48.144703
0.937,7,48.154195
0.847,17,48.181338
0.946,6,48.192493
0.892,12,48.210707
0.775,25,48.245534
0.955,5,48.252497
0.946,6,48.260707
0.937,7,48.270613
0.874,14,48.297791
0.937,7,48.308241
0.955,5,48.315183
0.946,6,48.324021
0.937,7,48.333813
0.955,5,48.341029
0.865,15,48.361498
0.91,10,48.375041
0.919,9,48.393059
0.865,15,48.414786
0.874,14,48.434953
0.766,26,48.471442
0.784,24,48.512847
0.901,11,48.528526
0.802,22,48.559912
0.712,32,48.614482
0.901,11,48.629725
0.946,6,48.637948
0.955,5,48.644866
0.829,19,48.671095
0.901,11,48.689178
0.874,14,48.71373
0.802,22,48.748544
0.91,10,48.76431
0.928,8,48.776295
0.928,8,48.788592
0.946,6,48.799942
0.91,10,48.815897
0.91,10,48.829546
0.937,7,48.839199
0.883,13,48.856886
0.946,6,48.86499
0.919,9,48.876679
0.901,11,48.890836
0.865,15,48.916935
0.91,10,48.930308
0.946,6,48.939466
0.892,12,48.955624
0.937,7,48.964923
0.937,7,48.9741
0.919,9,48.986688
0.919,9,49.001877
0.937,7,49.01272
0.82,20,49.040501
0.892,12,49.056428
0.946,6,49.064345
0.928,8,49.075594
0.838,18,49.103756
0.955,5,49.112064
0.928,8,49.126276
0.82,20,49.157257
0.91,10,49.170992
0.955,5,49.178316
0.955,5,49.185606
0.892,12,49.205863
0.829,19,49.236001
0.937,7,49.24602
0.865,15,49.267477
0.955,5,49.274621
0.892,12,49.291178
0.946,6,49.299582
0.856,16,49.327154
