#{"t_start": 1707324224.5486014, "env_id": "MiniGrid-Empty-5x5-v0"}
r,l,t
0.0,100,44.271561
0.0,100,44.466609
0.136,96,44.629557
0.0,100,44.797676
0.0,100,44.964863
0.0,100,45.128491
0.0,100,45.319535
0.478,58,45.419389
0.0,100,45.593414
0.0,100,45.764836
0.0,100,45.932266
0.0,100,46.10004
0.0,100,46.26976
0.0,100,46.449882
0.0,100,46.616227
0.0,100,46.788223
0.0,100,46.958842
0.0,100,47.136765
0.0,100,50.144609
0.0,100,50.330414
0.0,100,50.499902
0.0,100,50.677445
0.0,100,50.851251
0.0,100,51.016523
0.0,100,51.184517
0.0,100,51.355762
0.0,100,51.525742
0.433,63,51.629577
0.0,100,51.798751
0.0,100,51.967922
0.0,100,52.134158
0.271,81,52.270015
0.0,100,52.445272
0.757,27,52.492929
0.0,100,52.664441
0.0,100,52.838124
0.0,100,53.004369
0.685,35,53.062365
0.0,100,53.237067
0.0,100,53.404872
0.0,100,56.49179
0.0,100,56.67454
0.0,100,56.856047
0.0,100,57.024739
0.0,100,57.202375
0.0,100,57.375382
0.0,100,57.549207
0.244,84,57.696616
0.0,100,57.863159
0.0,100,58.031843
0.0,100,58.204637
0.0,100,58.373413
0.802,22,58.416256
0.0,100,58.588003
0.0,100,58.758328
0.127,97,58.931841
0.0,100,59.094051
0.0,100,59.272142
0.0,100,59.449018
0.0,100,59.623028
0.0,100,59.791677
0.0,100,62.911784
0.0,100,63.100874
0.0,100,63.284818
0.0,100,63.467473
0.478,58,63.566684
0.0,100,63.727338
0.0,100,63.903001
0.0,100,64.070278
0.0,100,64.240519
0.0,100,64.418656
0.0,100,64.596161
0.0,100,64.769184
0.0,100,64.938436
0.0,100,65.104388
0.0,100,65.282178
0.0,100,65.460885
0.0,100,65.637707
0.0,100,65.809092
0.0,100,65.987483
0.622,42,66.060652
0.0,100,66.232133
0.0,100,66.406705
0.0,100,69.61141
0.0,100,69.792802
0.0,100,69.976235
0.0,100,70.15371
0.0,100,70.339665
0.0,100,70.52209
0.0,100,70.701049
0.0,100,70.870715
0.0,100,71.040446
0.0,100,71.213365
0.0,100,71.400336
0.0,100,71.57197
0.0,100,71.746736
0.0,100,71.913146
0.0,100,72.091594
0.0,100,72.267908
0.0,100,72.433981
0.0,100,72.616288
0.0,100,72.796372
0.424,64,72.907039
0.0,100,73.080044
0.424,64,76.042283
0.0,100,76.21128
0.0,100,76.380638
0.0,100,76.5408
0.0,100,76.709949
0.0,100,76.867757
0.0,100,77.036947
0.0,100,77.207559
0.0,100,77.365603
0.0,100,77.543164
0.0,100,77.703353
0.0,100,77.868657
0.0,100,78.047475
0.0,100,78.22069
0.0,100,78.395057
0.0,100,78.56801
0.0,100,78.743846
0.0,100,78.928025
0.0,100,79.100999
0.0,100,79.272217
0.0,100,79.434499
0.0,100,82.525061
0.0,100,82.702911
0.0,100,82.880963
0.0,100,83.058438
0.208,88,83.216028
0.0,100,83.382972
0.0,100,83.557102
0.0,100,83.735935
0.0,100,83.905379
0.0,100,84.072836
0.0,100,84.265215
0.0,100,84.446806
0.0,100,84.613757
0.0,100,84.785114
0.0,100,84.958363
0.0,100,85.129308
0.0,100,85.308648
0.0,100,85.484745
0.0,100,85.667433
0.487,57,85.771797
0.0,100,85.939283
0.0,100,89.04958
0.0,100,89.231232
0.0,100,89.409196
0.0,100,89.580879
0.0,100,89.758752
0.0,100,89.933737
0.0,100,90.096679
0.0,100,90.274942
0.0,100,90.456124
0.0,100,90.628404
0.0,100,90.795588
0.0,100,90.966953
0.0,100,91.140263
0.424,64,91.254007
0.406,66,91.366337
0.0,100,91.532777
0.0,100,91.71063
0.0,100,91.893006
0.0,100,92.064648
0.0,100,92.246387
0.0,100,92.41821
0.0,100,95.616329
0.0,100,95.836022
0.19,90,96.033422
0.0,100,96.238419
0.0,100,96.42821
0.0,100,96.597232
0.0,100,96.801256
0.0,100,97.03016
0.0,100,97.251271
0.0,100,97.461382
0.0,100,97.645918
0.0,100,97.88147
0.0,100,98.088194
0.0,100,98.256237
0.0,100,98.43173
0.0,100,98.613374
0.0,100,98.792176
0.0,100,98.965101
0.0,100,99.152297
0.0,100,99.33266
0.0,100,102.387269
0.0,100,102.599926
0.0,100,102.832746
0.0,100,103.074739
0.0,100,103.279011
0.0,100,103.486153
0.0,100,103.702463
0.0,100,103.887257
0.0,100,104.07639
0.0,100,104.25824
0.0,100,104.445845
0.0,100,104.771256
0.0,100,105.017196
0.0,100,105.254065
0.0,100,105.474265
0.0,100,105.704004
0.0,100,105.934637
0.0,100,106.22114
0.0,100,106.459027
0.145,95,106.679127
0.0,100,106.879209
0.0,100,110.07008
0.0,100,110.242216
0.0,100,110.430594
0.0,100,110.601301
0.0,100,110.765707
0.0,100,110.930508
0.0,100,111.107423
0.0,100,111.327445
0.0,100,111.542901
0.0,100,111.742557
0.0,100,111.92259
0.0,100,112.103194
0.0,100,112.28612
0.0,100,112.475791
0.0,100,112.646298
0.0,100,112.819056
0.0,100,113.001006
0.0,100,113.188487
0.0,100,113.357476
0.0,100,113.529651
0.0,100,116.782603
0.0,100,116.973779
0.0,100,117.162397
0.0,100,117.333341
0.0,100,117.58124
0.0,100,117.824138
0.0,100,118.083466
0.0,100,118.312201
0.0,100,118.519336
0.0,100,118.711881
0.0,100,118.890119
0.0,100,119.079687
0.0,100,119.265468
0.0,100,119.445322
0.0,100,119.633791
0.0,100,119.81457
0.0,100,119.986115
0.0,100,120.159418
0.0,100,120.343351
0.0,100,120.521585
0.0,100,120.697751
0.0,100,123.887504
0.0,100,124.068254
0.0,100,124.251135
0.0,100,124.433014
0.0,100,124.615335
0.0,100,124.787123
0.0,100,124.956978
0.0,100,125.134131
0.0,100,125.32168
0.0,100,125.503714
0.0,100,125.680213
0.379,69,125.798623
0.0,100,125.992678
0.0,100,126.230687
0.0,100,126.461908
0.0,100,126.687946
0.0,100,126.901041
0.0,100,127.088854
0.0,100,127.271588
0.0,100,127.466361
0.0,100,127.666356
0.0,100,130.821375
0.0,100,130.998917
0.0,100,131.193071
0.0,100,131.370827
0.0,100,131.54568
0.0,100,131.717709
0.0,100,131.897324
0.0,100,132.078399
0.451,61,132.184431
0.0,100,132.36436
0.0,100,132.540107
0.0,100,132.725883
0.0,100,132.897908
0.0,100,133.073274
0.0,100,133.247315
0.0,100,133.426367
0.0,100,133.601279
0.0,100,133.774562
0.0,100,133.952951
0.0,100,134.132482
0.0,100,134.300055
0.0,100,137.463787
0.0,100,137.65609
0.0,100,137.8349
0.0,100,138.01152
0.0,100,138.188632
0.0,100,138.367749
0.0,100,138.552801
0.0,100,138.721614
0.487,57,138.822628
0.0,100,138.999277
0.0,100,139.172017
0.0,100,139.350744
0.0,100,139.544943
0.0,100,139.711229
0.0,100,139.877684
0.0,100,140.04172
0.0,100,140.204843
0.0,100,140.391928
0.0,100,140.570206
0.0,100,140.772541
0.0,100,140.971353
0.0,100,144.878148
0.0,100,145.055923
0.0,100,145.225827
0.0,100,145.401085
0.0,100,145.578581
0.0,100,145.756309
0.0,100,145.92903
0.334,74,146.053573
0.0,100,146.22534
0.0,100,146.402686
0.0,100,146.57408
0.0,100,146.747224
0.0,100,146.923054
0.0,100,147.094764
0.0,100,147.266575
0.0,100,147.441734
0.0,100,147.614509
0.0,100,147.787391
0.0,100,147.962873
0.0,100,148.138634
0.0,100,151.480487
0.0,100,151.657824
0.0,100,151.83316
0.0,100,152.006
0.0,100,152.169386
0.0,100,152.325214
0.0,100,152.490588
0.0,100,152.641478
0.0,100,152.802554
0.0,100,152.957973
0.0,100,153.114783
0.514,54,153.200873
0.0,100,153.358298
0.0,100,153.519612
0.0,100,153.678858
0.0,100,153.838536
0.0,100,153.990795
0.0,100,154.155223
0.0,100,154.312574
0.0,100,154.47196
0.0,100,154.627852
0.0,100,157.565379
0.0,100,157.744193
0.0,100,157.902731
0.811,21,157.939868
0.0,100,158.094731
0.0,100,158.25435
0.0,100,158.41064
0.0,100,158.571312
0.0,100,158.723263
0.379,69,158.832042
0.0,100,158.995838
0.0,100,159.150933
0.0,100,159.3115
0.0,100,159.466798
0.0,100,159.627156
0.0,100,159.786837
0.361,71,159.89874
0.0,100,160.050019
0.0,100,160.21087
0.0,100,160.379907
0.0,100,160.540946
0.0,100,160.691921
0.0,100,163.53235
0.0,100,163.69828
0.0,100,163.872751
0.0,100,164.045272
0.0,100,164.202435
0.0,100,164.364129
0.0,100,164.517102
0.0,100,164.706764
0.0,100,164.905543
0.0,100,165.070051
0.0,100,165.224952
0.0,100,165.390036
0.0,100,165.545548
0.0,100,165.702658
0.0,100,165.857832
0.0,100,166.019569
0.0,100,166.171575
0.0,100,166.329165
0.0,100,166.488317
0.0,100,166.652603
0.0,100,166.82445
0.0,100,169.63088
0.0,100,169.795931
0.0,100,169.953812
0.0,100,170.119949
0.0,100,170.281252
0.0,100,170.447946
0.0,100,170.607152
0.0,100,170.76666
0.0,100,170.92395
0.0,100,171.078602
0.0,100,171.241063
0.0,100,171.398054
0.0,100,171.554975
0.0,100,171.710648
0.0,100,171.8709
0.0,100,172.025714
0.0,100,172.188948
0.0,100,172.340412
0.0,100,172.498382
0.0,100,172.653229
0.0,100,175.472033
0.0,100,175.633661
0.0,100,175.801191
0.0,100,175.967746
0.0,100,176.142821
0.0,100,176.307079
0.0,100,176.464279
0.0,100,176.627209
0.0,100,176.78392
