#{"t_start": 1707315333.020746, "env_id": "MountainCarContinuous-v0"}
r,l,t
-53.203137,999,0.377433
-49.515972,999,0.737275
-49.389377,999,1.100602
-52.451756,999,1.46216
-50.88531,999,1.827137
-51.41959,999,2.205187
-51.791012,999,2.642724
-52.303315,999,3.257092
-51.915516,999,3.927815
-51.298758,999,4.479823
-50.116052,999,5.003239
-51.179344,999,5.50773
-51.514198,999,5.998719
-51.741094,999,6.487495
-52.833028,999,6.98863
-52.904045,999,7.512751
-52.923478,999,8.755911
-50.514996,999,9.87751
-50.413846,999,12.232981
-52.518046,999,13.097413
64.111341,685,15.079168
51.066386,992,16.016345
58.296386,799,17.917456
72.254778,523,18.406919
75.040074,437,18.790369
63.47154,724,19.441596
63.469657,675,21.274561
77.515461,437,21.664954
65.396683,654,22.246472
71.950591,546,23.91036
68.835718,607,24.501231
67.251291,662,25.120089
68.99048,620,26.826144
87.019363,262,27.101067
78.124945,439,27.519566
83.066288,331,27.826153
82.364657,325,28.121696
75.047963,466,28.537799
80.381166,376,30.125181
82.776407,346,30.473713
81.707179,380,30.834698
81.086483,363,31.168281
76.571077,435,31.570382
81.003518,363,33.181831
81.175885,336,33.537527
77.333267,427,33.961966
79.151934,404,34.359794
79.365591,391,34.743417
84.154093,296,35.028203
86.624528,251,36.445164
83.682315,338,36.792705
81.180718,350,37.130926
89.226311,197,37.317
84.721616,285,37.582306
85.373019,277,37.847904
83.101493,322,38.144568
81.214793,366,39.778987
85.071296,273,40.078779
82.924723,312,40.401242
87.065705,249,40.642035
87.094427,257,40.887269
83.110087,334,41.204534
83.146905,315,41.497585
90.354964,173,42.83776
88.09547,223,43.090512
89.490644,201,43.300008
87.980575,226,43.522228
88.238078,214,43.728374
87.007965,259,43.982471
83.172237,314,44.285834
80.785403,364,44.64092
91.238061,145,44.782202
83.805854,322,46.305055
90.286382,173,46.485875
85.716812,237,46.717597
90.346973,171,46.889104
90.54196,194,47.074353
91.130257,169,47.233841
88.794585,192,47.419096
84.412639,295,47.703831
85.780837,262,47.966897
87.922566,227,49.373829
91.427873,160,49.547354
89.129758,193,49.757628
91.837529,156,49.917397
85.075024,282,50.20647
87.850627,217,50.424619
86.922679,235,50.656968
80.590127,407,51.048936
88.831237,204,51.245425
87.551468,242,52.762156
86.566401,222,53.000961
89.807607,208,53.2183
90.686509,200,53.423974
92.100915,160,53.586474
89.792439,194,53.782294
92.744018,155,53.936947
90.303961,176,54.111511
90.62499,165,54.277866
89.280919,205,54.481817
89.619657,201,55.858599
91.527772,160,56.04776
88.898495,230,56.294532
89.125044,192,56.495153
91.011682,176,56.678663
92.449135,140,56.820282
90.69664,175,56.995927
88.811215,210,57.205712
86.694719,236,57.445026
90.665298,177,57.613546
88.230742,209,57.822241
89.288694,203,59.623929
88.068166,220,59.917587
92.370108,147,60.109276
90.718807,159,60.309147
91.461488,148,60.497641
91.489493,161,60.67919
89.147962,228,60.940368
89.968455,202,61.155472
92.87467,116,61.293073
92.237457,130,61.440671
88.342885,194,61.659807
91.775598,164,61.830406
91.158383,156,63.261726
91.454925,160,63.451139
87.157502,211,63.679427
90.571889,167,63.863254
89.27964,197,64.06846
91.992936,130,64.200037
89.618134,191,64.391623
90.090183,164,64.555627
90.619106,173,64.722031
89.751169,186,64.906155
91.741,160,65.065374
92.80299,125,65.186539
93.919047,94,65.279262
89.80343,161,66.585056
90.556586,152,66.75512
94.334595,85,66.847646
91.103288,139,66.991888
89.146132,190,67.185126
90.147141,170,67.358493
92.784783,128,67.484
89.037933,166,67.652772
92.995262,137,67.787242
90.879328,167,67.956259
90.312743,167,68.116139
88.586436,196,68.307386
91.398607,146,68.455796
91.92808,149,69.811316
91.285957,147,69.985733
91.891712,128,70.130628
94.239497,91,70.230935
90.110615,166,70.406145
92.702751,115,70.525783
90.144303,155,70.678629
89.400256,183,70.864023
91.371826,146,71.025402
93.650814,114,71.18224
92.717952,126,71.339641
92.405009,135,71.508859
91.30097,141,71.684318
94.772005,99,71.792007
93.802271,105,71.907014
90.614255,138,73.598508
91.101761,155,73.786974
92.976795,113,73.919564
94.216489,93,74.019114
88.044822,191,74.214598
91.109109,154,74.363579
87.882099,196,74.549604
94.665226,88,74.631742
89.974696,162,74.780781
87.09407,230,74.992606
93.644274,99,75.083649
94.461059,79,75.155857
94.834405,81,75.229249
92.393274,122,75.354053
89.817991,155,75.581774
93.946503,92,77.38385
90.516891,131,77.595512
93.841242,90,77.719518
90.041633,181,77.926751
94.559904,78,78.009221
91.698524,124,78.141447
94.378148,84,78.226362
93.765354,91,78.31505
92.204528,119,78.431878
88.41457,181,78.602925
94.323516,84,78.68236
90.217451,155,78.829263
92.15079,107,78.930297
